0.000000,3.737244,0.000000
0.420758,0.075546,1.837687
0.768972,0.075546,1.837687
1.130207,0.075546,1.837687
1.518480,0.075546,1.837687
1.936336,0.075546,1.837687
0.105038,0.311384,1.837687
0.420758,0.311384,1.837687
0.768972,0.311384,1.837687
1.130207,0.311384,1.837687
1.518480,0.311384,1.837687
1.936336,0.311384,1.837687
0.105038,0.597411,1.837687
0.420758,0.597411,1.837687
0.768972,0.597411,1.837687
1.130207,0.597411,1.837687
1.518480,0.597411,1.837687
1.936336,0.597411,1.837687
0.105038,0.943071,1.837687
0.420758,0.943071,1.837687
0.768972,0.943071,1.837687
1.130207,0.943071,1.837687
1.518480,0.943071,1.837687
0.105038,1.350802,1.837687
0.420758,1.350802,1.837687
0.768972,1.350802,1.837687
1.130207,1.350802,1.837687
0.105038,1.810638,1.837687
0.420758,1.810638,1.837687
0.768972,1.810638,1.837687
0.420758,0.075546,2.480352
0.768972,0.075546,2.480352
1.130207,0.075546,2.480352
1.518480,0.075546,2.480352
1.936336,0.075546,2.480352
0.105038,0.311384,2.480352
0.420758,0.311384,2.480352
0.768972,0.311384,2.480352
1.130207,0.311384,2.480352
1.518480,0.311384,2.480352
1.936336,0.311384,2.480352
0.105038,0.597411,2.480352
0.420758,0.597411,2.480352
0.768972,0.597411,2.480352
1.130207,0.597411,2.480352
1.518480,0.597411,2.480352
1.936336,0.597411,2.480352
0.105038,0.943071,2.480352
0.420758,0.943071,2.480352
0.768972,0.943071,2.480352
1.130207,0.943071,2.480352
1.518480,0.943071,2.480352
0.105038,1.350802,2.480352
0.420758,1.350802,2.480352
0.768972,1.350802,2.480352
1.130207,1.350802,2.480352
0.105038,1.810638,2.480352
0.420758,1.810638,2.480352
0.768972,1.810638,2.480352
0.105038,0.075546,3.181085
0.420758,0.075546,3.181085
0.768972,0.075546,3.181085
1.130207,0.075546,3.181085
1.518480,0.075546,3.181085
1.936336,0.075546,3.181085
0.105038,0.311384,3.181085
0.420758,0.311384,3.181085
0.768972,0.311384,3.181085
1.130207,0.311384,3.181085
1.518480,0.311384,3.181085
1.936336,0.311384,3.181085
0.105038,0.597411,3.181085
0.420758,0.597411,3.181085
0.768972,0.597411,3.181085
1.130207,0.597411,3.181085
1.518480,0.597411,3.181085
1.936336,0.597411,3.181085
0.105038,0.943071,3.181085
0.420758,0.943071,3.181085
0.768972,0.943071,3.181085
1.130207,0.943071,3.181085
1.518480,0.943071,3.181085
0.105038,1.350802,3.181085
0.420758,1.350802,3.181085
0.768972,1.350802,3.181085
1.130207,1.350802,3.181085
0.105038,1.810638,3.181085
0.420758,1.810638,3.181085
0.768972,1.810638,3.181085
0.105038,0.075546,3.959979
0.420758,0.075546,3.959979
0.768972,0.075546,3.959979
1.130207,0.075546,3.959979
1.518480,0.075546,3.959979
1.936336,0.075546,3.959979
0.105038,0.311384,3.959979
0.420758,0.311384,3.959979
0.768972,0.311384,3.959979
1.130207,0.311384,3.959979
1.518480,0.311384,3.959979
1.936336,0.311384,3.959979
0.105038,0.597411,3.959979
0.420758,0.597411,3.959979
0.768972,0.597411,3.959979
1.130207,0.597411,3.959979
1.518480,0.597411,3.959979
1.936336,0.597411,3.959979
0.105038,0.943071,3.959979
0.420758,0.943071,3.959979
0.768972,0.943071,3.959979
1.130207,0.943071,3.959979
1.518480,0.943071,3.959979
0.105038,1.350802,3.959979
0.420758,1.350802,3.959979
0.768972,1.350802,3.959979
1.130207,1.350802,3.959979
0.105038,1.810638,3.959979
0.420758,1.810638,3.959979
0.768972,1.810638,3.959979
0.000000,0.000000,0.000000
